idx,kind,caption,image,rendered_ok,error_snippet
0,figure,Stylized context-rot curves reconstructed from the Chroma (2025) study. All eighteen frontier models tested showed monotonic performance degradation as input length increased—well below their nominal context-window limits.,fig_001.jpg,yes,
1,figure,Stylized reproduction of the U-shaped retrieval curve reported by Liu et al. (2024).,fig_002.jpg,yes,
2,figure,"Taxonomy of the eleven analyzed frameworks, grouped by primary functional role. Frameworks stacked within the same column share its color and belong to the same category. Agent Skills sits alongside Karpathy Skills in the Behavioral & Skill-based category but reaches further into lifecycle coverage through its 21 skills and 7 slash commands.",fig_003.jpg,yes,
3,table,Karpathy Skills: core principles and corrective strategies,tab_004.jpg,yes,
4,table,Agent Skills: lifecycle commands and skill activation,tab_005.jpg,yes,
5,table,"AI-RPI Protocol: phases, sub-phases, and outputs",tab_006.jpg,yes,
6,table,"BMAD Method: SDLC phases, personas, and artifacts",tab_007.jpg,yes,
7,table,OpenSpec: action commands and lifecycle effects,tab_008.jpg,yes,
8,table,Spec Kit: workflow commands and artifacts,tab_009.jpg,yes,
9,table,GSD v1: workflow phases and mechanisms,tab_010.jpg,yes,
10,table,GSD-2: core systems and operational impact,tab_011.jpg,yes,
11,table,Ralph Copilot: agent roles and outputs,tab_012.jpg,yes,
12,figure,The adversarial agent pattern. The Verifier's incentive is inverted relative to the Implementor.,fig_013.jpg,yes,
13,figure,The three tiers of Spec-Driven Development rigor.,fig_014.jpg,yes,
14,table,Comparison of software methodologies,tab_015.jpg,yes,
15,figure,The AI Engineering Frameworks Magic Quadrant (Scope vs. Autonomy). Four strategic groupings emerge from plotting execution autonomy against architectural complexity.,fig_016.jpg,yes,
16,table,Convergence patterns across the eleven frameworks,tab_017.jpg,yes,
17,figure,Magic Quadrant: Governance Style vs. Implementation Weight. Reliability rises rightward; cost rises upward. Spec Loop Engine's bottom-right position illustrates that programmatic enforcement does not require a heavyweight runtime.,fig_018.jpg,yes,
18,figure,Magic Quadrant: Target Audience vs. Ceremony Weight. Team-oriented frameworks cluster top-right; minimalist solo tools anchor the bottom-left.,fig_019.jpg,yes,
19,table,Best-in-class framework per engineering capability,tab_020.jpg,yes,
20,table,Complementary gap-filling across frameworks,tab_021.jpg,yes,
21,figure,The four-layer Spec-Driven Development reference architecture.,fig_022.jpg,yes,
22,table,Concrete integration points between layers,tab_023.jpg,yes,
