idx,kind,caption,image,rendered_ok,error_snippet
0,figure,"Cumulative agentic compute cost $C_comp(N)$ for the best-in-class model in the dataset (Claude Opus 4.7) versus a flat-rate seat $S=\$39$. The intersection marks the Inflection Point; beyond it, every additional turn destroys per-seat margin. Source: data_n_figures/cost_model.py function plot_inflection_point().",fig_001.jpg,yes,
1,table,"Wholesale pricing per million tokens for the article's 23-model dataset, sorted by input price (decreasing). Sources: provider list prices snapshotted in May 2026, curated in data_n_figures/curated_dataset_swebench.csv.",tab_002.jpg,yes,
2,table,Agentic-code capability anchored to SWE-bench Verified (mini-SWE-agent harness). The right-most column normalizes each score against Claude Opus 4.7 = 100%.,tab_003.jpg,yes,
3,table,"Effectiveness-Adjusted Cost on the 100-developer reference workload (list prices, no caching, 99.3\,% input mix). EAC is sorted ascending. Step-3.5-Flash is the lowest-cost route to a resolved task at \$2.38K/mo, while Claude Opus 4.7 pays \$101.88K/mo for its capability premium.",tab_004.jpg,yes,
4,figure,Cost-quality Pareto frontier on the 100-developer reference workload. Dashed lines are iso-EAC curves; the scatter is colored by $\log_10(EAC)$. The green dashed staircase is the Pareto frontier (lower envelope on EAC); the blue dash-dotted line is its dual. Same source as Figure.,fig_005.jpg,yes,
5,figure,"Effectiveness-Adjusted Cost staircase: the black/green frontier is the lower envelope (for any capability target on the x-axis, its height is the cheapest EAC achievable); the blue dual frontier expands instead along the SWE axis. Any dot above the staircase is dominated.",fig_006.jpg,yes,
6,figure,"Deflation curve on the 100-developer reference workload ($U=100$, 40 sessions/dev/month, $N=75$, 17.37\,B tokens/month). Top: per-million-token wholesale prices on a log scale. Bottom: projected monthly bill per model; the dotted line marks the equivalent flat-rate seat plan (100 seats × \$39 = \$3.90K).",fig_007.jpg,yes,
7,figure,"Stacked optimization levers vs.\ baseline, evaluated on the 100-developer reference workload ($U=100$, 40 sessions/dev/month, $N=75$). Left: per-session cost vs.\ $N$ on a log axis, with the Seat\,$S=\$39$ horizontal line and the $N=75$ vertical reference. Right: projected monthly bill at $N=75$ for each lever, contrasted with the \$3.90K flat seat plan. Parameters: $h=0.74$ cache hit rate, $r=0.40$ compaction ratio.",fig_008.jpg,yes,
8,figure,"Per-session cost (log scale) for the three future scenarios across $N[1,200]$. S1 pays raw Claude Opus 4.7 prices (steepest), S2 flattens the quadratic via compaction ($r=0.40$) and absorbs most of the input cost via caching ($h=0.74$), S3 pays raw Step-3.5-Flash prices with no optimization. Vertical dashed lines mark $N_^S1=20$ and the article's reference horizon $N_ref=75$.",fig_009.jpg,yes,
9,figure,"End-of-simulation monthly bill on the 100-developer reference workload (4, sessions/month). S1 and S2 land within a few dollars of each other (\$7.30K vs.\ \$7.36K), but S1 buys that budget by amputating the agentic horizon to $N\le20$. S3 (\$1.77K) is the cheapest of the three and sits below the \$3.90K flat-rate seat reference—demonstrating that on this dataset the deflationary haven dominates both FinOps and cap-driven retrenchment in pure dollar terms. figure",fig_010.jpg,yes,
